date,country,location,entity,value
2020-03-29,GB,Falkirk,retail_recr,-0.78
2020-03-29,GB,Falkirk,grocery_pharm,-0.38
2020-03-29,GB,Falkirk,parks,-0.26
2020-03-29,GB,Falkirk,transit,-0.56
2020-03-29,GB,Falkirk,workplace,-0.47
2020-03-29,GB,Falkirk,residential,0.27
2020-03-29,GB,Fermanagh and Omagh,retail_recr,-0.86
2020-03-29,GB,Fermanagh and Omagh,grocery_pharm,-0.47
2020-03-29,GB,Fermanagh and Omagh,parks,-0.55
2020-03-29,GB,Fermanagh and Omagh,transit,-0.54
2020-03-29,GB,Fermanagh and Omagh,workplace,-0.52
2020-03-29,GB,Fermanagh and Omagh,residential,0.27
2020-03-29,GB,Fife,retail_recr,-0.79
2020-03-29,GB,Fife,grocery_pharm,-0.38
2020-03-29,GB,Fife,parks,-0.32
2020-03-29,GB,Fife,transit,-0.56
2020-03-29,GB,Fife,workplace,-0.51
2020-03-29,GB,Fife,residential,0.14
2020-03-29,GB,Flintshire,retail_recr,-0.8
2020-03-29,GB,Flintshire,grocery_pharm,-0.44
2020-03-29,GB,Flintshire,parks,-0.48
2020-03-29,GB,Flintshire,transit,-0.6
2020-03-29,GB,Flintshire,workplace,-0.54
2020-03-29,GB,Flintshire,residential,0.26
2020-03-29,GB,Glasgow City,retail_recr,-0.84
2020-03-29,GB,Glasgow City,grocery_pharm,-0.44
2020-03-29,GB,Glasgow City,parks,-0.37
2020-03-29,GB,Glasgow City,transit,-0.81
2020-03-29,GB,Glasgow City,workplace,-0.6
2020-03-29,GB,Glasgow City,residential,0.16
2020-03-29,GB,Gloucestershire,retail_recr,-0.86
2020-03-29,GB,Gloucestershire,grocery_pharm,-0.48
2020-03-29,GB,Gloucestershire,parks,-0.49
2020-03-29,GB,Gloucestershire,transit,-0.73
2020-03-29,GB,Gloucestershire,workplace,-0.55
2020-03-29,GB,Gloucestershire,residential,0.15
2020-03-29,GB,Greater London,retail_recr,-0.87
2020-03-29,GB,Greater London,grocery_pharm,-0.48
2020-03-29,GB,Greater London,parks,-0.59
2020-03-29,GB,Greater London,transit,-0.8
2020-03-29,GB,Greater London,workplace,-0.62
2020-03-29,GB,Greater London,residential,0.19
2020-03-29,GB,Greater Manchester,retail_recr,-0.84
2020-03-29,GB,Greater Manchester,grocery_pharm,-0.46
2020-03-29,GB,Greater Manchester,parks,-0.44
2020-03-29,GB,Greater Manchester,transit,-0.8
2020-03-29,GB,Greater Manchester,workplace,-0.54
2020-03-29,GB,Greater Manchester,residential,0.16
2020-03-29,GB,Gwynedd,retail_recr,-0.87
2020-03-29,GB,Gwynedd,grocery_pharm,-0.55
2020-03-29,GB,Gwynedd,parks,-0.62
2020-03-29,GB,Gwynedd,transit,-0.65
2020-03-29,GB,Gwynedd,workplace,-0.56
2020-03-29,GB,Gwynedd,residential,0.18
2020-03-29,GB,Hampshire,retail_recr,-0.85
2020-03-29,GB,Hampshire,grocery_pharm,-0.45
2020-03-29,GB,Hampshire,parks,-0.48
2020-03-29,GB,Hampshire,transit,-0.74
2020-03-29,GB,Hampshire,workplace,-0.54
2020-03-29,GB,Hampshire,residential,0.15
2020-03-29,GB,Hartlepool,retail_recr,-0.86
2020-03-29,GB,Hartlepool,grocery_pharm,-0.44
